B-LS-MI 005,3,3,"können einfache Datenbanken aus dem Bereich der Life Sciences entwerfen und normalisieren, diese mit einer geeigneten Modellierungssprache dokumentieren und sie implementieren"
B-LS-MI 005,4,3,"sind in der Lage, Abfragen auf (relationalen) Datenbanken mit SQL zu formulieren"
B-LS-MI 005,5,3,können mit unterschiedlichen Datenformaten umgehen und kleine Projekte in mindestens einer Variante einer nicht relationalen (NoSQL-)Datenbank realisieren
B-LS-MT 007,1,2,"kennen die prinzipiellen Unterschiede verschiedener Materialien (wie z.B. Metalle, Polymere, Keramik, biokompatible Materialien, neuartige Materialentwicklungen (z.B. Diamant-ähnliche Schichten, Carbon-Nano-Tubes), Composites, Verbundwerkstoff), die grundlegenden Aufbau-Prinzipien der Materialien und Werkstoffe und die Herstellungstechnologien von Materialien. "
B-LS-MT 007,2,1,"kennen die mechanischen Eigenschaften und Grenzen der Materialien (wie z.B. Metalle, Polymere, Keramik, biokompatible Materialien, neuartige Materialentwicklungen (z.B. Diamant-ähnliche Schichten, Carbon-Nano-Tubes), Composites, Verbundwerkstoff); die Problematik der Korrosion und exemplarische Anwendungen aus der Medizinaltechnik (Implantate, Kunststoff-Einwegteile, Chirurgie-Besteck...). "
B-LS-MT 007,5,3,können wirtschaftliche Konsequenzen der Materialauswahl für ein Produkt abschätzen (Grundlagen zu Rohstoffkosten und Verarbeitungskosten einiger Materialien). 
B-LS-MT 008,1,2,"verstehen die grundlegenden Fertigungsprinzipien Urformen (wie z.B. Giessen, Sintern, Spritzgiessen, etc.), Umformen (wie z.B. Schmieden, Walzen, Biegen, etc.), Trennen (wie z.B. Sägen, Drehen, Fräsen, etc.), Fügen (wie z.B. Schweissen, Löten, etc.), Beschichten (wie z.B. Lackieren, Galvanisieren, etc.) und Stoffeigenschaften ändern (wie z.B. Härten, Glühen, etc.)"
B-LS-MT 008,2,1,"kennen den Unterschied zwischen additiver/generativer (3D-Druck) und subtraktiver Fertigungstechniken (wie z.B. Drehen, Fräsen, etc.)"
B-LS-MT 008,3,1,"Können das Fertigungsverfahren Bioprinting und dessen möglichen Einsatzgebiete (z.B. Medizin (Organe), synthetische Biologie, etc.) erläutern"
B-LS-MT 008,4,3,"können das geeignete Fertigungsverfahren (z.B. additiv/generativ, subtraktiv) fürdie Anwendung auswählen"
B-LS-MT 008,5,1,können schildern wie die Fertigungsverfahren im Leichtbau (z.B. durch Strukturoptimierung oder Verwendung von Leichtbaumaterialien) eingesetzt werden
B-LS-MT 011,1,3,können anhand von Beschreibungen (Versuchsanleitung) diese selbständig in physikalische Versuchsaufbauten umsetzen
B-LS-MT 011,2,3,sind in der Lage anhand der Versuchsanleitung zu erfassende Grössen zu erkennen und deren Erfassung mit den Versuchsaufbauten sicherzustellen
B-LS-MT 011,3,3,können die erfassten physikalischen Grössen in geeigneter Form dokumentieren und die Ergebnisse präsentieren (Messprotokoll)
